response_availability,cohort_size,d100
16,12000,0.03979785009
17,12000,0.0431214941
18,12000,0.04258271167
19,12000,0.04114358959
20,12000,0.04230213634
21,12000,0.04061203469
22,12000,0.04014226757
23,12000,0.03981345357
24,12000,0.03729793201
25,12000,0.03807698465
26,12000,0.03871694324
27,12000,0.03889113108
28,12000,0.0395429706
35,12000,0.03706190051
42,12000,0.03484156214
49,12000,0.03152712052
56,12000,0.02905302282
63,12000,0.02475194713
7,15000,0.06280593674
8,15000,0.04123944904
9,15000,0.03766198124
10,15000,0.03684301599
11,15000,0.03908162153
12,15000,0.03869708232
13,15000,0.03826530134
14,15000,0.03995294323
15,15000,0.03784779891
16,15000,0.0370697618
17,15000,0.04042555136
18,15000,0.04009417797
19,15000,0.03848277458
20,15000,0.03938532347
21,15000,0.03800329853
22,15000,0.03706416033
23,15000,0.0369417066
24,15000,0.03462849855
25,15000,0.03524420111
26,15000,0.03552875755
27,15000,0.0357056781
28,15000,0.03612038351
35,15000,0.03436471691
42,15000,0.03217610134
49,15000,0.02872724649
56,15000,0.0271057493
63,15000,0.02303056008
